DP_Titel;DP_Authors;DP_FileName;DP_YearPublished;DP_Quantlet;DP_DateOfIssue;DP_ProjectsName;JEL
Men, Women, and the Ballot Woman Suffrage in the United States;Sebastian Braun,Michael Kvasnicka;SFB649DP2009-016.pdf;2009;\N;17.03.2009;C7;"
D72,
J16,
K10,
N41,
N42
 "
The Importance of Two-Sided Heterogeneity for the Cyclicality of Labour Market Dynamics;Ronald Bachmann,Peggy David;SFB649DP2009-017.pdf;2009;\N;17.03.2009;C7;"
J63,
J64,
J21,
E24
 "
Transparency through Financial Claims with Fingerprints – A Free Market Mechanism for Preventing Mortgage Securitization Induced Financial Crises;Helmut Gründl,Thomas Post;SFB649DP2009-018.pdf;2009;\N;17.03.2009;B9;"
D53,
E44
F34,
G14,
G18,
G21,
G24,
G28
 "
A Joint Analysis of the KOSPI 200 Option and ODAX Option Markets Dynamics;Ji Cao,Wolfgang Härdle,Julius Mungo;SFB649DP2009-019.pdf;2009;\N;23.03.2009;B1;"
C14,
G12
 "
Putting Up a Good Fight: The Galí-Monacelli Model versus “The Six Major Puzzles in International Macroeconomics”;Stefan Ried;SFB649DP2009-020.pdf;2009;\N;15.04.2009;C1;"
F41,
F42,
E52
 "
Spectral estimation of the fractional order of a Lévy process;Denis Belomestny;SFB649DP2009-021.pdf;2009;\N;15.04.2009;B7;"
C12,
C13
 "
Individual Welfare Gains from Deferred Life-Annuities under Stochastic Lee-Carter Mortality;Thomas Post;SFB649DP2009-022.pdf;2009;\N;21.04.2009;B9;"
D14,
D81,
D91,
G11,
G22,
J11,
J26
 "
Pricing Bermudan options using regression: optimal rates of convergence for lower estimates;Denis Belomestny;SFB649DP2009-023.pdf;2009;\N;21.04.2009;B7;"
G14,
C15
 "
Incorporating the Dynamics of Leverage into Default Prediction;Gunter Löffler,Alina Maurer;SFB649DP2009-024.pdf;2009;\N;24.04.2009;Z;"
G32,
G33
 "
Measuring the effects of geographical distance on stock market correlation;Stefanie Eckel,Gunter Löffler,Alina Maurer,Volker Schmidt;SFB649DP2009-025.pdf;2009;\N;24.04.2009;Z;"
R12,
G11,
G14
 "
Regression methods for stochastic control problems and their convergence analysis;Denis Belomestny,Anastasia Kolodko,John Schoenmakers;SFB649DP2009-026.pdf;2009;\N;05.05.2009;B7;"
C15,
C61
 "
Unionisation Structures, Productivity, and Firm Performance;Sebastian Braun;SFB649DP2009-027.pdf;2009;\N;13.05.2009;C7;"
J50,
D43,
F16
 "
Optimal Smoothing for a Computationally and Statistically Efficient Single Index Estimator;Yingcun Xia,Wolfgang Härdle,Oliver Linton;SFB649DP2009-028.pdf;2009;\N;13.05.2009;B1;"
C00,
C13,
C14
 "
Controllability and Persistence of Money Market Rates along the Yield Curve: Evidence from the Euro Area;Ulrike Busch,Dieter Nautz;SFB649DP2009-029.pdf;2009;\N;15.05.2009;C14;"C22, E43, E52
 "
Non-constant Hazard Function and Inflation Dynamics;Fang Yao;SFB649DP2009-030.pdf;2009;\N;29.05.2009;C7;"
E12,
E31
 "
De copulis non est disputandum - Copulae: An Overview;Wolfgang Härdle,Ostap Okhrin;SFB649DP2009-031.pdf;2009;\N;29.05.2009;B1,B10;"
C13,
C14,
C50
 "
Weather-based estimation of wildfire risk;Joanne Ho,Martin Odening;SFB649DP2009-032.pdf;2009;\N;18.06.2009;C11;"
C24,
C25,
Q23,
Q54
 "
TFP Growth in Old and New Europe;Michael C. Burda,Battista Severgnini;SFB649DP2009-033.pdf;2009;\N;24.06.2009;C7;D24, O47, P27
How does entry regulation influence entry into self-employment and occupational mobility?;Susanne Prantl,Alexandra Spitz-Oener;SFB649DP2009-034.pdf;2009;\N;29.06.2009;A9;"
J24,
J62,
K20,
L11,
L51,
M13
 "
Trade-Off Between Consumption Growth and Inequality: Theory and Evidence for Germany;Runli Xie;SFB649DP2009-035.pdf;2009;\N;29.06.2009;C7;"
J24,
J62,
K20,
L11,
L51,
M13
 "
Inflation and Growth: New Evidence From a Dynamic Panel Threshold Analysis;Stephanie Kremer,Alexander Bick,Dieter Nautz;SFB649DP2009-036.pdf;2009;\N;07.07.2009;C14;"
E31,
C23,
O40
 "
The Impact of the European Monetary Union on Inflation Persistence in the Euro Area;Barbara Meller,Dieter Nautz;SFB649DP2009-037.pdf;2009;\N;07.07.2009;C14;"
C22,
C23,
E31
 "
CDO and HAC;"Barbara Choro&#347;,Wolfgang Härdle,Ostap Okhrin";SFB649DP2009-038.pdf;2009;\N;30.07.2009;B1,B10;"
C13,
G12,
G13,
G21
 "
The Political Economy of Regulatory Risk;Roland Strausz;SFB649DP2009-040.pdf;2009;\N;14.08.2009;A8;"
D82
 "
Regulation and Investment in Network Industries: Evidence from European Telecoms;"Micha&#322; Grajek,Lars-Hendrik Röller";SFB649DP2009-039.pdf;2009;\N;31.07.2009;Z;"
C51,
L59,
L96
 "
Shape invariant modelling pricing kernels and risk aversion;Maria Grith,Wolfgang Härdle,Juhyun Park;SFB649DP2009-041.pdf;2009;\N;20.08.2009;B1;"C14, C32, G12
 "
The Cost of Tractability and the Calvo Pricing Assumption;Fang Yao;SFB649DP2009-042.pdf;2009;\N;09.09.2009;C7;"
E12,
E31
 "
Evidence on Unemployment, Market Work and Household Production;Michael C. Burda,Daniel S. Hamermesh;SFB649DP2009-043.pdf;2009;\N;11.09.2009;C7;"
E24,
J22,
D13
 "
Modelling and Forecasting Liquidity Supply Using Semiparametric Factor Dynamics;Wolfgang Härdle,Nikolaus Hautsch,Andrija Mihoci;SFB649DP2009-044.pdf;2009;\N;16.09.2009;B1,B8;"
C14,
C32,
C53,
G11
 "
Quantifizierbarkeit von Risiken auf Finanzmärkten;Wolfgang Karl Härdle, Christian Wolfgang Friedrich Kirchner;SFB649DP2009-045.pdf;2009;\N;09.10.2009;B1;"
B23,
C14,
G32,
K22
 "
Pricing of Asian temperature risk;Fred Benth, Wolfgang Karl Härdle, Brenda López Cabrera;SFB649DP2009-046.pdf;2009;\N;09.10.2009;B1;"
G19,
G29,
G22,
N23,
N53,
Q59
 "
MM-Stat - MultiMedia-Statistik: Statistische Datenanalyse - webbasiert, interaktiv und multimedial;Sigbert Klinke,Dina Kuhlee,Christian Theel,Cornelia Wagner,Christian Westermeier;SFB649DP2009-047.pdf;2009;\N;16.10.2009;B1;"
I21
 "
Migration of the Highly Skilled: Can Europe catch up with the US?;Lydia Mechtenberg,Roland Strausz;SFB649DP2009-048.pdf;2009;\N;21.10.2009;A6,A8;"
D61,
H77,
I28
 "
A blocking and regularization approach to high dimensional realized covariance estimation;Nikolaus Hautsch,Lada M. Kyj,Roel C.A. Oomen;SFB649DP2009-049.pdf;2009;\N;21.10.2009;B8;"
C14,
C22
 "
Generalized single-index models: The EFM approach;Xia Cui,Wolfgang Karl Härdle,Lixing Zhu;SFB649DP2009-050.pdf;2009;\N;28.10.2009;B1;"
C02,
C13,
C14,
C21
 "
The Market Impact of a Limit Order;Nikolaus Hautsch,Ruihong Huang;SFB649DP2009-051.pdf;2009;\N;28.10.2009;B8;"
G14,
C32,
G17
 "
On economic evaluation of directional forecasts;Oliver Blaskowitz,Helmut Herwartz;SFB649DP2009-052.pdf;2009;\N;29.10.2009;B8;"
C52,
E17,
E27,
E37,
E47,
F17,
F37,
F47,
G17
 "
Monetary Policy Implementation and Overnight Rate Persistence;Dieter Nautz,Jan Scheithauer;SFB649DP2009-053.pdf;2009;\N;09.11.2009;C14;"
E52,
C22
 "
Depression Econometrics: A FAVAR Model of Monetary Policy During the Great Depression;Pooyan Amir Ahmadi,Albrecht Ritschl;SFB649DP2009-054.pdf;2009;\N;09.11.2009;Z;"
N12,
E37,
E47,
E52,
C11,
C53
 "
Representations for optimal stopping under dynamic monetary utility functionals;Volker Krätschmer,John Schoenmakers;SFB649DP2009-055.pdf;2009;\N;09.11.2009;B5;"
C61,
C63,
G12,
G13
 "
Product policy and the East-West productivity gap;Bernd Görzig,Martin Gornig,Ramona Voshage,Axel Werwatz;SFB649DP2009-056.pdf;2009;\N;09.11.2009;B3;"
L25,
D24,
P23,
C14
 "
Real and Nominal Rigidities in Price Setting: A Bayesian Analysis Using Aggregate Data;Fang Yao;SFB649DP2009-057.pdf;2009;\N;09.11.2009;C7;"
E12,
E31
 "
Polar sets of anisotropic Gaussian random fields;Jakob Söhl;SFB649DP2009-058.pdf;2009;\N;18.11.2009;C12;"
G13,
C14
 "
Der Einfluss von Exporten auf die betriebliche Entwicklung;Stefan Mangelsdorf;SFB649DP2009-059.pdf;2009;\N;25.11.2009;B3;"F10, D21, L60
 "
Renting versus Owning and the Role of Income Risk: The Case of Germany;Rainer Schulz,Martin Wersing,Axel Werwatz;SFB649DP2009-060.pdf;2009;\N;03.12.2009;B3;"
R21,
G11,
J24,
C25
 "
Is cross-category brand loyalty determined by risk aversion?;Nadja Silberhorn,Lutz Hildebrandt;SFB649DP2009-061.pdf;2009;\N;03.12.2009;B2;"
M31,
C51
 "
Interest Rate Dynamics and Monetary Policy Implementation in Switzerland;Puriya Abbassi,Dieter Nautz,Christian J. Offermanns;SFB649DP2009-062.pdf;2009;\N;09.12.2009;C14;"
E52,
E58
 "
Quantifying High-Frequency Market Reactions to Real-Time News Sentiment Announcements;Axel Groß-Klußmann,Nikolaus Hautsch;SFB649DP2009-063.pdf;2009;\N;09.12.2009;B8;"
G14,
C32
 "
Genetic variation in dopaminergic neuromodulation influences the ability to rapidly and flexibly adapt decisions;Krugel, L. K., Biele, G., Mohr, P. N. C., Li, S. C., & Heekeren, H. R.;http://www.pnas.org/content/106/42/17951.full.pdf+;2009;\N;31.12.2009;A12;
Altered Function of Ventral Striatum during Reward-Based Decision Making in Old Age;Mell, T., Wartenburger, I., Marschner, A., Villringer, A., Reischies, F. M., & Heekeren, H. R.;http://www.frontiersin.org/human_neuroscience/10.3389/neuro.09/034.2009/html/abstract;2009;\N;31.12.2009;A12;
Neuroeconomics and aging: Neuromodulation of economic decision making in old age;Mohr, P. N. C., Li, S. C., & Heekeren, H. R.;http://www.sciencedirect.com/science/article/pii/S0149763409000803;2009;\N;31.12.2009;A12;
Testing Monotonicity of Pricing Kernels;Yuri Golubev, Wolfgang K. Härdle, Roman Timofeev;SFB649DP2008-001.pdf;2008;\N;07.01.2008;B1;"
G12,
C12
 "
Adaptive pointwise estimation in time-inhomogeneous time-series models;Pavel Cizek,Wolfgang Härdle,Vladimir Spokoiny;SFB649DP2008-002.pdf;2008;\N;07.01.2008;B1;"
C13,
C14,
C22
 "
The Bayesian Additive Classification Tree Applied to Credit Risk Modelling;Junni L. Zhang,Wolfgang Härdle;SFB649DP2008-003.pdf;2008;\N;07.01.2008;B1;"
C14,
C11,
C45,
C01
 "
Independent Component Analysis Via Copula Techniques;Ray-Bing Chen,Meihui Guo,Wolfgang Härdle,Shih-Feng Huang;SFB649DP2008-004.pdf;2008;\N;07.01.2008;B1;"
C01,
C13,
C14,
C63
 "
The Default Risk of Firms Examined with Smooth Support Vector Machines;Wolfgang Härdle,Yuh-Jye Lee,Dorothea Schäfer,Yi-Ren Yeh;SFB649DP2008-005.pdf;2008;\N;07.01.2008;B1;"
G30;
C14;
G33;
C45
 "
Value-at-Risk and Expected Shortfall when there is long range dependence;Wolfgang Härdle,Julius Mungo;SFB649DP2008-006.pdf;2008;\N;07.01.2008;B1;"
C14,
C32,
C52,
C53,
G12
 "
A Consistent Nonparametric Test for Causality in Quantile;Kiho Jeong,Wolfgang Härdle;SFB649DP2008-007.pdf;2008;\N;07.01.2008;B1;"
C14,
C52
 "
Do Legal Standards Affect Ethical Concerns of Consumers?;Dirk Engelmann,Dorothea Kübler;SFB649DP2008-008.pdf;2008;\N;21.01.2008;A6;"
C91,
J88,
K31
 "
Recursive Portfolio Selection with Decision Trees;Anton Andriyashin,Wolfgang Härdle,Roman Timofeev;SFB649DP2008-009.pdf;2008;\N;21.01.2008;B1;"
C14,
C49,
G11,
G12
 "
Do Public Banks have a Competitive Advantage?;Astrid Matthey;SFB649DP2008-010.pdf;2008;\N;21.01.2008;A6;"
G21
 "
Don’t aim too high: the potential costs of high aspirations;Astrid Matthey,Nadja Dwenger;SFB649DP2008-011.pdf;2008;\N;21.01.2008;A6;"
D11,
D84,
C91
 "
Visualizing exploratory factor analysis models;Sigbert Klinke, Cornelia Wagner;SFB649DP2008-012.pdf;2008;\N;24.01.2008;B1;"
C39,
C45,
C63
 "
House Prices and Replacement Cost: A Micro-Level Analysis;Rainer Schulz,Axel Werwatz;SFB649DP2008-013.pdf;2008;\N;31.01.2008;B3;"
C52,
C53,
R31
 "
Support Vector Regression Based GARCH Model with Application to Forecasting Volatility of Financial Returns;Shiyi Chen,Kiho Jeong,Wolfgang Härdle;SFB649DP2008-014.pdf;2008;\N;31.01.2008;B1;"
C45,
C53,
G32
 "
Structural Constant Conditional Correlation;Enzo Weber;SFB649DP2008-015.pdf;2008;\N;31.01.2008;C6;"
C32,
G10
 "
Estimating Investment Equations in Imperfect Capital Markets;Silke Hüttel,Oliver Mußhoff,Martin Odening,Nataliya Zinych;SFB649DP2008-016.pdf;2008;\N;31.01.2008;D;"
D81,
D92,
C51
 "
Adaptive Forecasting of the EURIBOR Swap Term Structure;Oliver Blaskowitz,Helmut Herwatz;SFB649DP2008-017.pdf;2008;\N;31.01.2008;C2;"
C32,
C53,
E43,
G29
 "
Solving, Estimating and Selecting Nonlinear Dynamic Models without the Curse of Dimensionality;Viktor Winschel,Markus Krätzig;SFB649DP2008-018.pdf;2008;\N;07.02.2008;C2;"
C11,
C13,
C15,
C32,
C52,
C63,
C68,
C87
 "
The Accuracy of Long-term Real Estate Valuations;Rainer Schulz,Markus Staiber,Martin Wersing,Axel Werwatz;SFB649DP2008-019.pdf;2008;\N;12.02.2008;B3;"
C52,
C53
 "
The Impact of International Outsourcing on Labour Market Dynamics in Germany;Ronald Bachmann,Sebastian Braun;SFB649DP2008-020.pdf;2008;\N;26.02.2008;C7;"
F16,
J63,
J23
 "
Preferences for Collective versus Individualised Wage Setting;Tito Boeri,Michael C. Burda;SFB649DP2008-021.pdf;2008;\N;26.02.2008;C7;"
J5,
J6,
D7
 "
Lumpy Labor Adjustment as a Propagation Mechanism of Business Cycles;Fang Yao;SFB649DP2008-022.pdf;2008;\N;27.02.2008;C7;"
E32,
E24,
E22
 "
Stock Picking via Nonsymmetrically Pruned Binary Decision Trees;Anton Andriyashin;SFB649DP2008-035.pdf;2008;\N;27.05.2008;B1;"
C14,
C15,
C44,
C63,
G12
 "
Family Management, Family Ownership and Downsizing: Evidence from S&P 500 Firms;Jörn Hendrich Block;SFB649DP2008-023.pdf;2008;\N;06.03.2008;D;"
G34,
L21,
M12,
M13,
M14,
M51
 "
Skill Specific Unemployment with Imperfect Substitution of Skills;Runli Xie;SFB649DP2008-024.pdf;2008;\N;11.03.2008;C7;"
E24,
E32,
J63
 "
Price Adjustment to News with Uncertain Precision;Nikolaus Hautsch,Dieter Hess,Christoph Müller;SFB649DP2008-025.pdf;2008;\N;11.03.2008;B8;"
E44,
G14
 "
Information and Beliefs in a Repeated Normal-form Game;Dietmar Fehr,Dorothea Kübler,David Danz;SFB649DP2008-026.pdf;2008;\N;03.04.2008;A6;"
C72,
C92,
D84
 "
The Stochastic Fluctuation of the Quantile Regression Curve;Wolfgang Härdle, Song Song;SFB649DP2008-027.pdf;2008;\N;03.04.2008;B1;"
C00,
C14,
J01,
J31
 "
Are stewardship and valuation usefulness compatible or alternative objectives of financial accounting?;Joachim Gassen;SFB649DP2008-028.pdf;2008;\N;03.04.2008;D;"
D82,
G14,
G34,
M41
 "
Genetic Codes of Mergers, Post Merger Technology Evolution and Why Mergers Fail;Alexander Cuntz;SFB649DP2008-029.pdf;2008;\N;18.04.2008;D;"
O30,
L22,
L25,
C78,
L65
 "
Using R, LaTeX and Wiki for an Arabic e-learning platform;Taleb Ahmad,Wolfgang Härdle,Sigbert Klinke,Shafeeqah Al Awadhi;SFB649DP2008-030.pdf;2008;\N;18.04.2008;B1;"
I21,
C19
 "
Beyond the business cycle - factors driving aggregate mortality rates;Katja Hanewald;SFB649DP2008-031.pdf;2008;\N;18.04.2008;D;"
I12,
J11,
C32
 "
Against All Odds? National Sentiment and Wagering on European Football;Sebastian Braun,Michael Kvasnicka;SFB649DP2008-032.pdf;2008;\N;18.04.2008;C7;"
L20,
L83
 "
Are CEOs in Family Firms Paid Like Bureaucrats? Evidence from Bayesian and Frequentist Analyses;Jörn Hendrich Block;SFB649DP2008-033.pdf;2008;\N;25.04.2008;D;"
G30,
J30,
M52
 "
JBendge: An Object-Oriented System for Solving, Estimating and Selecting Nonlinear Dynamic Models;Viktor Winschel,Markus Krätzig;SFB649DP2008-034.pdf;2008;\N;25.04.2008;C2;"
C11,
C13,
C15,
C32,
C52,
C63,
C68,
C87
 "
Expected Inflation, Expected Stock Returns, and Money Illusion: What can we learn from Survey Expectations?;Maik Schmeling,Andreas Schrimpf;SFB649DP2008-036.pdf;2008;\N;27.05.2008;D;"
G10,
G12,
E44
 "
The Impact of Individual Investment Behavior for Retirement Welfare: Evidence from the United States and Germany;Thomas Post, Helmut Gründl, Joan T. Schmit,Anja Zimmer;SFB649DP2008-037.pdf;2008;\N;27.05.2008;D;"
D14,
D91,
G11,
G28,
I31
 "
Dynamic Semiparametric Factor Models in Risk Neutral Density Estimation;Enzo Giacomini,Wolfgang Härdle,Volker Krätschmer;SFB649DP2008-038.pdf;2008;\N;27.05.2008;B1;"
C14,
C32,
G12
 "
Can Education Save Europe From High Unemployment?;Nicole Walter,Runli Xie;SFB649DP2008-039.pdf;2008;\N;17.06.2008;C7;"
E24,
J24,
J52
 "
Gruppenvergleiche bei hypothetischen Konstrukten – Die Prüfung der Übereinstimmung von Messmodellen mit der Strukturgleichungsmethodik;Dirk Temme,Lutz Hildebrandt;SFB649DP2008-042.pdf;2008;\N;18.06.2008;B2;"
C31,
C51,
C81,
M31
 "
Modeling Dependencies in Finance using Copulae;Wolfgang Härdle,Ostap Okhrin,Yarema Okhrin;SFB649DP2008-043.pdf;2008;\N;19.06.2008;B1,B10;"
C00,
C14,
C51
 "
Numerics of Implied Binomial Trees;Wolfgang Härdle,Alena Mysickova;SFB649DP2008-044.pdf;2008;\N;19.06.2008;B1;"
G12,
G13,
C13
 "
Measuring and Modeling Risk Using High-Frequency Data;Wolfgang Härdle,Nikolaus Hautsch,Uta Pigorsch;SFB649DP2008-045.pdf;2008;\N;26.06.2008;B1;"
C13,
C14,
C22,
C52,
C53
 "
Links between sustainability-related innovation and sustainability management;Marcus Wagner;SFB649DP2008-046.pdf;2008;\N;26.06.2008;D;"
C30,
L73,
Q25
 "
Modelling High-Frequency Volatility and Liquidity Using Multiplicative Error Models;Nikolaus Hautsch,Vahidin Jeleskovic;SFB649DP2008-047.pdf;2008;\N;08.07.2008;B8;"
C13,
C32,
C52
 "
Macro Wine in Financial Skins: The Oil-FX Interdependence;Enzo Weber;SFB649DP2008-048.pdf;2008;\N;08.07.2008;C6;"
C32,
F31,
Q43
 "
Simultaneous Stochastic Volatility Transmission Across American Equity Markets;Enzo Weber;SFB649DP2008-049.pdf;2008;\N;08.07.2008;C6;"
C32,
G15
 "
A semiparametric factor model for electricity forward;Szymon Borak,Rafal Weron;SFB649DP2008-050.pdf;2008;\N;16.07.2008;B1;"
C51,
G13,
Q40
 "
Recurrent Support Vector Regression for a Nonlinear ARMA Model with Applications to Forecasting Financial Returns;Shiyi Chen,Kiho Jeong,Wolfgang K. Härdle;SFB649DP2008-051.pdf;2008;\N;16.07.2008;B1;"
C45,
F37,
F47
 "
Bayesian Demographic Modeling and Forecasting: An Application to U.S. Mortality;Wolfgang H. Reichmuth,Samad Sarferaz;SFB649DP2008-052.pdf;2008;\N;31.07.2008;C5;"
C11,
C32,
C53,
I10,
J11
 "
Yield Curve Factors, Term Structure Volatility, and Bond Risk Premia;Nikolaus Hautsch,Yangguoyi Ou;SFB649DP2008-053.pdf;2008;\N;31.07.2008;B8;"
C5,
E4,
G1
 "
The Natural Rate Hypothesis and Real Determinacy;Alexander Meyer-Gohde;SFB649DP2008-054.pdf;2008;\N;05.08.2008;C10;"
C62,
E31,
E52,
E58,
E61
 "
Solow Residuals without Capital Stocks;Michael C. Burda, Battista Severgnini;SFB649DP2008-040.pdf;2008;\N;11.08.2008;C7;"
D24,
E01,
E22,
O33,
O47
 "
Unionization, Stochastic Dominance, and Compression;Michael Burda, Bernd Fitzenberger, Alexander Lembcke, Thorsten Vogel;SFB649DP2008-041.pdf;2008;\N;16.06.2008;C7;"
J31,
J51,
J52
 "
Lumpy Labor Adjustment as a Propagation Mechanism of Business Cycles;Fang Yao;SFB649DP2008-056.pdf;2008;\N;11.08.2008;C7;"
E32,
E24,
C68
 "
Measuring changes in preferences and perception due to the entry of a new brand with choice data;Lutz Hildebrandt, Lea Kalweit;SFB649DP2008-057.pdf;2008;\N;18.09.2008;B2;"
M31,C23,C51
 "
Technology sourcing by large incumbents through acquisition of small firms;Marcus Wagner;SFB649DP2008-055.pdf;2008;;11.09.2008;D;"
L10,
L86,
M20
 "
Statistics E-learning Platforms Evaluation: Case Study;Taleb Ahmad, Wolfgang Härdle;SFB649DP2008-058.pdf;2008;\N;31.08.2008;B1;"
I21,
C19
 "
The Influence of the Business Cycle on Mortality;Wolfgang H. Reichmuth,Samad Sarferaz;SFB649DP2008-059.pdf;2008;\N;19.09.2008;C5;"
C11,
C32,
E32,
I10,
J10

 "
Matching Theory and Data:Bayesian Vector Autoregression and Dynamic Stochastic General Equilibrium Models;Alexander Kriwoluzky;SFB649DP2008-060.pdf;2008;\N;19.09.2008;C1;"
C51
 "
Eine Analyse der Dimensionen des Fortune-Reputationsindex;Lutz Hildebrandt,Henning Kreis,Joachim Schwalbach;SFB649DP2008-061.pdf;2008;\N;26.09.2008;B2;"
M10,M14,M30
 "
Nonlinear Modeling of Target Leverage with Latent Determinant Variables - New Evidence on the Trade-off Theory;Ralf Sabiwalsky;SFB649DP2008-062.pdf;2008;\N;26.09.2008;D;"
G32,G33,C61
 "
Discrete-Time Stochastic Volatility Models and MCMC-Based Statistical Inference;Nikolaus Hautsch,Yangguoyi Ou;SFB649DP2008-063.pdf;2008;\N;01.10.2008;B8;"
C15,
C22,
G12
 "
A note on the model selection risk for ANOVA based adaptive forecasting of the EURIBOR swap term structure;Oliver Blaskowitz,Helmut Herwartz;SFB649DP2008-064.pdf;2008;;21.10.2008;C2;"
C32,
C53,
E43,
G29
 "
Modeling and Forecasting Age-Specific Mortality: A Bayesian Approach;Wolfgang H. Reichmuth, Samad Sarferaz;SFB649DP2008-052a.pdf;2008;;21.10.2008;C5;
When, How Fast and by How Much do Trade Costs change in the Euro Area?;Helmut Herwartz, Henning Weber;SFB649DP2008-065.pdf;2008;\N;05.11.2008;C3;"
C31,
C33,
F13,
F15,
F33,
F42
 "
The U.S. Business Cycle, 1867-1995:Dynamic Factor Analysis vs. Reconstructed National Accounts;Albrecht Ritschl,Samad Sarferaz,Martin Uebele;SFB649DP2008-066.pdf;2008;\N;25.11.2008;C5;"
N11,
N12,
C43,
E32
 "
Testing Multiplicative Error Models Using Conditional Moment Tests;Nikolaus Hautsch;SFB649DP2008-067.pdf;2008;\N;02.12.2008;B8;"
C12,
C22,
C52
 "
Understanding West German Economic Growth in the 1950s;Barry Eichengreen,Albrecht Ritschl;SFB649DP2008-068.pdf;2008;\N;02.12.2008;C5;"
N14,
N44,
O52
 "
Structural Dynamic Conditional Correlation;Enzo Weber;SFB649DP2008-069.pdf;2008;\N;18.12.2008;C6;"C32, G10
 "
A Brand Specific Investigation of International Cost Shock Threats on Price and Margin with a Manufacturer-Wholesaler-Retailer Model;Till Dannewald,Lutz Hildebrandt;SFB649DP2008-070.pdf;2008;\N;18.12.2008;B2;"
M31,
F12,
L66,
F14,
L13
 "
Winners and Losers of Early Elections: On the Welfare Implications of Political Blockades and Early Elections;Felix Bierbrauer,Lydia Mechtenberg;SFB649DP2008-071.pdf;2008;\N;18.12.2008;A6;"
D72,
D61,
D82
 "
Common Influences, Spillover and Integration in Chinese Stock Markets;Enzo Weber,Yanqun Zhang;SFB649DP2008-072.pdf;2008;\N;29.12.2008;C6;"
C32,
G10
 "
Testing directional forecast value in the presence of serial correlation;Oliver Blaskowitz,Helmut Herwartz;SFB649DP2008-073.pdf;2008;\N;29.12.2008;C2;"
C32,
C52,
C53,
E17,
E27,
E47,
F17,
F37,
F47,
G11,
G17
 "
A model of reciprocity: Explaining cooperation in groups;Biele, G., Rieskamp, J., Czienskowski, U;SFB649DP2008-074.pdf;2008;\N;31.12.2008;A12;
Trade Liberalisation, Process and Product Innovation, and Relative Skill Demand;Sebastian Braun;SFB649DP2007-001.pdf;2007;\N;05.01.2007;C7;"
F12,
F15,
F16,
O32
 "
Robust Risk Management. Accounting for Nonstationarity and Heavy Tails;Ying Chen,Vladimir Spokoiny;SFB649DP2007-002.pdf;2007;\N;16.01.2007;B1,B5;"
C14,
C53
 "
Explaining Asset Prices with External Habits and Wage Rigidities in a DSGE Model.;Harald Uhlig;SFB649DP2007-003.pdf;2007;\N;23.01.2007;C1;"
E24,
E30,
G12
 "
Volatility and Causality in Asia Pacific Financial Markets;Enzo Weber;SFB649DP2007-004.pdf;2007;\N;30.01.2007;C6;"
C32,
G15
 "
Quantile Sieve Estimates For Time Series;Jürgen Franke,Jean-Pierre Stockis,Joseph Tadjuidje;SFB649DP2007-005.pdf;2007;\N;05.02.2007;D;"
C14,
C45
 "
Real Origins of the Great Depression: Monopolistic Competition, Union Power, and the American Business Cycle in the 1920s;Monique Ebell,Albrecht Ritschl;SFB649DP2007-006.pdf;2007;\N;05.02.2007;C5;"
E24,
E27,
J51,
J64,
N12,
N22
 "
Rules, Discretion or Reputation? Monetary Policies and the Efficiency of Financial Markets in Germany, 14th to 16th Centuries;Oliver Volckart;SFB649DP2007-007.pdf;2007;\N;08.02.2007;C5;"
G15,
N13,
N23,
N43
 "
Sectoral Transformation, Turbulence, and Labour Market Dynamics in Germany;Ronald Bachmann,Michael C. Burda;SFB649DP2007-008.pdf;2007;\N;19.02.2007;C7;"
J63,
J64,
J62
 "
Union Wage Compression in a Right-to-Manage Model;Thorsten Vogel;SFB649DP2007-009.pdf;2007;\N;19.02.2007;C7;"
J51,
J31,
J41,
J21
 "
"On &#963;&#8722;additive robust representation of convex risk measures for unbounded financial positions in the presence of uncertainty about the market model";Volker Krätschmer;SFB649DP2007-010.pdf;2007;\N;01.03.2007;A3;"
G10
 "
Media Coverage and Macroeconomic Information Processing;Alexandra Niessen;SFB649DP2007-011.pdf;2007;\N;07.03.2007;D;"
G23,
E44,
G14
 "
Are Correlations Constant Over Time? Application of the CC-TRIGt-test to Return Series from Different Asset Classes.;Matthias Fischer;SFB649DP2007-012.pdf;2007;\N;15.03.2007;D;"
C22,
C32,
G12
 "
Uncertain Paternity, Mating Market Failure, and the Institution of Marriage;Dirk Bethmann,Michael Kvasnicka;SFB649DP2007-013.pdf;2007;\N;20.03.2007;C7;"
D10,
J12,
J13,
D02
 "
What Happened to the Transatlantic Capital Market Relations?;Enzo Weber;SFB649DP2007-014.pdf;2007;\N;26.03.2007;C6;"
E44,
F31,
C32
 "
Who Leads Financial Markets?;Enzo Weber;SFB649DP2007-015.pdf;2007;\N;04.04.2007;C6;"
C32,
G15
 "
Fiscal Policy Rules in Practice;Andreas Thams;SFB649DP2007-016.pdf;2007;\N;04.04.2007;C6;"
E62,
E63,
E65
 "
Empirical Pricing Kernels and Investor Preferences;Kai Detlefsen,Wolfgang Härdle,Rouslan Moro;SFB649DP2007-017.pdf;2007;\N;04.04.2007;B1;"
G12,
G13,
C50
 "
Simultaneous Causality in International Trade;Enzo Weber;SFB649DP2007-018.pdf;2007;\N;18.04.2007;C6;"
F10,
C32
 "
